  Z A ab (UvD|DvU)   |        A_ash         |    change_factor     |      change_min      |      change_max      |      change_mag      |       mag_min        |       mag_max        | 
========================================================================================================================================================================

    69 35 gp DvU     |         107          |  2.089837191185071   |  1.656281724779846   |  2.520236664371889   | 0.0004223805035136898 | 0.000284893568294053 | 0.0004967866187289429 | 
    69 35 gp DvU     |         108          |  2.4755451232630996  |  1.5152397459250246  |  5.358729128816662   | 0.00019564374229303093 | 9.187621309127841e-05 | 0.00025946501451634473 | 
   110 52 ga UvD     |         110          |  59.906863278941884  |  25.03128672443325   |  193.78986340642422  | 0.00036697937950141437 | 0.00018432100053397766 | 0.0005576021669197815 | 
   115 52 ga UvD     |          12          |  2.0079824986455397  |  1.457458400088583   |  2.0836506162480313  | 7.143802324981061e-05 | 2.397307841863903e-05 | 9.026362117655452e-05 | 
   115 52 ga UvD     |          28          |   2.24843710973223   |  1.3432639173273684  |  2.3880517674276374  | 5.8884761800857396e-05 | 1.5356497188766144e-05 | 8.326402999723303e-05 | 
   101 44 pa UvD     |          12          |  2.064483590718101   |   1.00733539597053   |  2.8577469702157954  | 5.778150945806452e-05 | 5.003577261212524e-07 | 0.00012528423342253784 | 
   101 44 pa UvD     |          28          |  2.1776535470732714  |  1.0232526751345234  |  3.2449437324619104  | 5.8206769791222775e-05 | 1.3619662390998354e-06 | 0.00013056913539647252 | 
    47 23 pa UvD     |         107          |  2.0833104360636887  |  1.4708796001594935  |  3.289044068672344   |  0.0003325769056291  | 0.0001539011504194041 | 0.0006502282305580922 | 
   109 48 pa UvD     |          12          |  2.6841267093083347  |  1.1703275910179238  |   7.07354928226986   | 0.0001063529103890585 | 8.003292272101999e-06 | 0.000329156857756876 | 
   109 48 pa UvD     |          28          |  2.554100498111244   |  1.0882056430610223  |  7.015775454085588   | 9.30333985253652e-05 | 4.969657527865291e-06 | 0.0003402730708107397 | 
    27 13 pa UvD     |          28          |  3.3189987541137533  |  1.3067865723753513  |  11.601576278709928  | 7.037189074252537e-05 | 1.1796698783465865e-05 | 0.00026241295267220085 | 
    27 13 pa DvU     |          34          |  4.127282856987075   |  1.3527222947015316  |  7.195244432144501   | 0.00017796411516852472 | 7.831899067387767e-05 | 0.00023765263927264202 | 
    60 29 pa DvU     |         106          |  2.4203450041273054  |  1.0685295076456391  |  5.796506723097614   | 0.0016804737346436172 | 0.00010272097111962519 | 0.0025667627926943275 | 
    60 29 pa DvU     |         107          |  2.9518346460082823  |  1.006343745648947   |  8.464220979547513   | 0.00044850691579368686 | 1.7539230959554768e-06 | 0.0008358204150104353 | 
    63 31 pa UvD     |          4           |  34.57651385820637   |  8.336696390357536   |  62020.73019278979   | 0.0004476428751055882 | 0.00021797837769185817 | 0.0011481627273718306 | 
    63 31 pa UvD     |          66          |  2.0395699699185936  |   1.48168768956321   |  4.979313986423131   | 0.002686962886177411 | 0.001579986593996299 | 0.0037946812547216893 | 
    63 31 pa UvD     |          69          |  2.6079664686725663  |  2.1070087952990284  |  5.283831039755057   | 0.013225312238315941 | 0.010766750488056673 | 0.01655333115656834  | 
    63 31 pa UvD     |          70          |   3.00599104464733   |  2.2879971749787913  |  7.849595564374263   | 0.0037451910883885718 | 0.0030123112923544065 | 0.00449246889329433  | 
    63 31 pa UvD     |          71          |  3.1141326587998877  |  2.4900075595532023  |  6.759397064651395   | 0.0047016219121768415 | 0.003983237014542547 | 0.005583822466273775 | 
    63 31 pa UvD     |          73          |   3.27882294077464   |   2.71917129626715   |  6.484372983191813   |  0.0118876634212393  | 0.010484811207302559 | 0.01395618621154842  | 
    63 31 pa UvD     |          74          |  3.755204866773734   |  2.9794346616237055  |  8.708382829251182   | 0.00392502681665643  | 0.0034335146425566376 | 0.004424412370697332 | 
    63 31 pa UvD     |          75          |  3.9530627210668494  |  3.224385067426958   |  8.365185807203044   | 0.004844300639472193 | 0.004325248406833263 | 0.005488308553072156 | 
    63 31 pa UvD     |          77          |  3.215059314208404   |  2.773723039787866   |  5.469482684239573   | 0.00740000500348708  | 0.0067047188242519914 | 0.008619785683485936 | 
    63 31 pa UvD     |          78          |  4.379327076347548   |  3.5897998056663183  |  9.328792301701794   | 0.006158525947188379 | 0.005580116491626581 | 0.006839897952474649 | 
    63 31 pa UvD     |          79          |  4.045560957477466   |  3.445261060558039   |  7.2893653607351725  | 0.005339949805954992 | 0.004912348589898931 | 0.005956042051758156 | 
    63 31 pa UvD     |          81          |  3.0075315537950256  |  2.7048482319078895  |  4.407682955846838   | 0.005266543518091056 | 0.004881728553110139 | 0.006073579534824989 | 
    63 31 pa UvD     |          82          |  4.413789987306214   |  3.7817521812667207  |  8.265115324556207   | 0.008299377706862187 | 0.007668599441488832 | 0.009236394246547229 | 
    63 31 pa UvD     |          83          |  3.795373246831333   |  3.3636073967581464  |  5.764981527863323   | 0.005138591679589898 | 0.0047538449445040445 | 0.005637264732807588 | 
    63 31 pa UvD     |          85          |  2.3158594068248997  |  2.096543410978943   |  2.7671538745696957  | 0.004409428611542943 | 0.003722440511982608 | 0.0049531499581828686 | 
    63 31 pa UvD     |          86          |  3.441776358633781   |  3.075235789166214   |  5.440612847438534   | 0.004867394272450672 | 0.004503469092442076 | 0.005567994607492892 | 
    63 31 pa UvD     |          87          |  2.7623557963716774  |  2.5766770574419366  |  3.4342045717823657  | 0.003781479855241914 | 0.0033602246248930732 | 0.004033189882224676 | 
    63 31 pa UvD     |          88          |  2.1813755559929695  |  1.9308578158064758  |  2.6243454715193106  | 0.0033916691565832606 | 0.0027767838509140073 | 0.0038793115896333255 | 
