       Z A ab        |   abs_cyburt_sens    |   rel_cyburt_sens    | 
      47 24 pg       | 1.087667697673508e+38 |  9.998621962336001   | 
     109 50 pg       | 1.0835137350672807e+38 |  9.960435757271544   | 
      18 8 pa        | 1.0809569338753788e+38 |  9.936931806013858   | 
      60 29 pa       | 1.0794281478546683e+38 |  9.922878107889806   | 
      94 50 gp       | 1.0782628465473708e+38 |  9.912165822079713   | 
     103 50 ga       | 1.076290806758232e+38 |  9.894037417247558   | 
      18 8 pg        | 1.0721342777439237e+38 |  9.855827619918424   | 
      72 33 pg       | 1.0712512535796233e+38 |  9.847710228162345   | 
      65 31 pg       | 1.0709610373699025e+38 |  9.845042352510115   | 
      79 35 pa       | 1.0700560713730241e+38 |  9.836723255684026   | 
      78 34 pg       | 1.0683601169424344e+38 |  9.821132825580158   | 
      66 31 pa       | 1.0672069013567173e+38 |  9.810531640395267   | 
      33 16 pg       | 1.0669207608386663e+38 |   9.80790123142549   | 
      77 39 gp       | 1.0642985270445997e+38 |  9.783795776735776   | 
      92 45 pg       | 1.0637465286027651e+38 |  9.778721410957047   | 
      26 15 ag       | 1.0564485240299633e+38 |  9.711632916043643   | 
      52 29 gp       | 1.048212216710328e+38 |  9.635918868976875   | 
      25 14 ap       | 1.0467659222567285e+38 |  9.622623492531757   | 
      54 26 pg       | 1.0436219595104901e+38 |  9.593721930932984   | 
      37 18 ag       | 1.0399774494860328e+38 |   9.56021897957161   | 
      87 42 pg       | 1.0378543012464146e+38 |   9.5407014774307    | 
     102 45 pg       | 1.0377087266375428e+38 |   9.53936325116496   | 
      82 44 gp       | 1.037251980613724e+38 |  9.535164513963577   | 
      87 39 pg       | 1.0357213676399022e+38 |  9.521094021175545   | 
      91 42 pg       | 1.0302621659165021e+38 |  9.470909121536467   | 
      74 37 pg       | 1.0296983288561832e+38 |  9.465725926681511   | 
      90 41 pg       | 1.0255327421413756e+38 |  9.427432864469791   | 
      81 39 pg       | 1.0250447434589938e+38 |  9.422946830404708   | 
      29 16 ap       | 1.0222364496761885e+38 |   9.39713097878614   | 
     111 49 pa       | 1.0181237071449413e+38 |  9.359323698229478   | 
      36 16 ag       | 1.01784661445067e+38 |  9.356776463348393   | 
      98 47 ag       | 1.0144389948928616e+38 |  9.325451179143606   | 
      84 40 pg       | 1.0141195790355544e+38 |  9.322514879377765   | 
      35 18 ag       | 1.012210581685499e+38 |  9.304966005883468   | 
      93 41 pa       | 1.0068910236957194e+38 |  9.256064811648963   | 
      43 21 pa       | 1.004629585906313e+38 |  9.235276052733001   | 
     100 48 pg       | 1.0011645740310472e+38 |  9.203423177162737   | 
      61 30 pg       | 9.99748236830033e+37 |  9.190403189280019   | 
      42 24 ap       | 9.99211106855306e+37 |  9.185465505120213   | 
      52 29 gp       | 9.948972375797667e+37 |  9.145809323206093   | 
     103 45 pg       | 9.91978823119394e+37 |   9.11898116329926   | 
     105 46 pa       | 9.892763829667171e+37 |  9.094138394206961   | 
      27 13 ag       | 9.864462967769984e+37 |  9.068122211146315   | 
      98 45 pa       | 9.845824990715616e+37 |  9.050988845219578   | 
      62 28 pg       | 9.828485292249626e+37 |  9.035048950132763   | 
      57 31 gp       | 9.813461243850428e+37 |  9.021237766753066   | 
      81 37 pa       | 9.742073785570408e+37 |  8.955613292502273   | 
      98 47 ag       | 9.729309805085078e+37 |  8.943879725726278   | 
      98 46 pg       | 9.70686893130388e+37 |  8.923250464241118   | 
      22 13 gp       | 9.698555122635406e+37 |  8.915607814733269   | 
      46 24 pg       | 9.677555800977872e+37 |  8.896303731402645   | 
      76 34 pa       | 9.674636532985131e+37 |  8.893620130783761   | 
      48 22 ag       | 9.66398706308107e+37 |  8.883830373866484   | 
      42 21 pg       | 9.621181342136572e+37 |   8.84448028353423   | 
      69 31 pa       | 9.595677428033843e+37 |   8.82103525558879   | 
      63 29 pg       | 9.583544599643864e+37 |  8.809881889108864   | 
      47 24 ap       | 9.517729820631355e+37 |  8.749380221523412   | 
      41 23 pg       | 9.51019618730397e+37 |   8.74245476517268   | 
      33 17 ap       | 9.50369205071544e+37 |  8.736475696098623   | 
      73 37 pg       | 9.474137938655325e+37 |  8.709307435557864   | 
      81 35 pa       | 9.47117007729109e+37 |  8.706579164424955   | 
      84 39 pg       | 9.459517438293074e+37 |  8.695867222491408   | 
      71 33 pg       | 9.414845764820372e+37 |  8.654801814698766   | 
      72 34 pg       | 9.411238448801791e+37 |  8.651485710961788   | 
